src_ip,src_port,dst_ip,dst_port,proto,pktTotalCount,octetTotalCount,min_ps,max_ps,avg_ps,std_dev_ps,flowStart,flowEnd,flowDuration,min_piat,max_piat,avg_piat,std_dev_piat
192.168.1.5,52475,52.217.140.209,443,6,3,123,41,41,41.0,0.0,1669046126.634149,1669046171.646969,45.01282000541687,2.3126602172851562e-05,45.0127968788147,22.506410002708435,22.506386876106262
192.168.1.5,51859,35.244.189.186,443,6,4,164,41,41,41.0,0.0,1669046126.840397,1669046171.864855,45.024458169937134,1.811981201171875e-05,45.024413108825684,15.008152723312378,21.224701264457895
35.244.189.186,443,192.168.1.5,51859,6,2,104,52,52,52.0,0.0,1669046126.857303,1669046171.880001,45.022698163986206,45.022698163986206,45.022698163986206,45.022698163986206,0.0
54.175.191.203,443,192.168.1.5,61457,6,6,264,40,52,44.0,5.656854249492381,1669046127.350666,1669046202.138013,74.78734683990479,6.676695108413696,23.03051996231079,14.957469367980957,7.2077603966087
192.168.1.5,61457,54.175.191.203,443,6,12,484,40,41,40.333333333333336,0.4714045207910317,1669046127.35083,1669046202.065194,74.71436381340027,5.9604644775390625e-06,23.030439138412476,6.792214892127297,8.89976425303999
192.168.1.5,50621,162.159.134.234,443,6,8,524,40,91,65.5,25.5,1669046128.291897,1669046169.693092,41.40119504928589,1.811981201171875e-05,41.103031873703,5.91445643561227,14.365822988484872
162.159.134.234,443,192.168.1.5,50621,6,4,224,40,72,56.0,16.0,1669046128.297275,1669046169.642617,41.34534192085266,0.08968400955200195,41.161149978637695,13.78178064028422,19.360137823924642
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,54907,2800:3f0:4005:40b::200e,443,17,28,2082,41,273,74.35714285714286,80.89464677932044,1669046128.968545,1669046194.807173,65.83862805366516,1.2874603271484375e-05,14.980005025863647,2.4384677056913024,4.738169645534391
2800:3f0:4005:40b::200e,443,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,54907,17,16,863,33,93,53.9375,26.604672404485644,1669046129.087321,1669046194.925519,65.83819794654846,0.0,15.122721195220947,4.389213196436564,5.66396432058725
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,54071,2800:5f0:1000:10::2,53,17,2,82,41,41,41.0,0.0,1669046129.801179,1669046129.801202,2.3126602172851562e-05,2.3126602172851562e-05,2.3126602172851562e-05,2.3126602172851562e-05,0.0
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,63475,2800:5f0:1000:10::2,53,17,2,82,41,41,41.0,0.0,1669046129.80135,1669046129.801363,1.2874603271484375e-05,1.2874603271484375e-05,1.2874603271484375e-05,1.2874603271484375e-05,0.0
2800:5f0:1000:10::2,53,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,54071,17,1,57,57,57,57,0.0,1669046129.807545,1669046129.807545,0,0,0,0,0
2800:5f0:1000:10::2,53,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,63475,17,1,69,69,69,69,0.0,1669046129.807545,1669046129.807545,0,0,0,0,0
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52565,2800:3f0:4005:400::2003,443,6,26,3628,20,787,139.53846153846155,219.78892510231975,1669046129.808549,1669046175.28426,45.47571110725403,5.9604644775390625e-06,45.097946882247925,1.8190284442901612,8.83434443775607
